Nº ANP;TITULO;EMPRESA RESPONSÁVEL;DEMAIS PROPONENTES;QUALIFICAÇÃO;OBJETIVO;ÁREA;TEMA;SUBTEMA;EXECUTOR 1;EXECUTOR 2;EXECUTOR 3;EXECUTOR 4;EXECUTOR 5;EXECUTOR 6;EXECUTOR 7;EXECUTOR 8;Nº AUTORIZAÇÃO;DATA INÍCIO;PRAZO;VALOR CLAUSULA
20196-2;Investigação de catalisadores de refino e suas transformações térmicas por Difração de Raios-X in situ;PETROBRAS;0;DESENVOLVIMENTO EXPERIMENTAL;Aplicação da técnica de DRX in situ acoplada à espectroscopia de massas na investigação de materiais cristalinos e suas transformações térmicas sob atmosfera controlada visando ao desenvolvimento de catalisadores para a indústria de refino com enfoque nos processos de craqueamento catalítico (FCC) e reforma a vapor.;TEMAS TRANSVERSAIS;MATERIAIS;TECNOLOGIA DE MATERIAIS;PUC-Rio - Laboratório de Difração de Raios-X e análises térmicas para estudos de materiais para indústria de refino, petroquímica e fotocatálise;;;;;;;;;30/10/2017;36; R$ 2.510.577,41 
20197-0;Projeto Efeitos Geomecânicos em Reservatórios e Rochas Adjacentes Causados pela Produção - Fase III;PETROBRAS;0;PESQUISA APLICADA;O objetivo geral do Termo de Cooperação é dar continuidade na pesquisa e desenvolvimento (P&D) da suite computacional OLYMPUS (programas GAIA + HERMES + CHRONOS) para modelar estruturas geológicas (malha de elementos finitos) e simular adequadamente o comportamento geomecânico da rocha reservatório e adjacentes durante a produção do reservatório, através de soluções numéricas que aproximam o modelo computacional do cenário real dos problemas de engenharia de petróleo.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;ESTABILIDADE DE POÇOS;PUC-Rio - Grupo de Tecnologia e Engenharia de Petroleo - GTEP;;;;;;;;;31/10/2017;36; R$ 4.901.649,28 
20204-4;P&D em Processos de Gestão com Foco no Desenvolvimento e Implantação do Módulo de Materiais no Sistema CRONOWEB;PETROBRAS;0;PESQUISA APLICADA;O processo de planejamento da cadeia de suprimento pode ser impactado pelas condições de mercado, tornando-o altamente dinâmico. Nesse contexto, o desenvolvimento de uma metodologia e ferramenta de apoio à decisão para auxiliar o processo de nivelamento de equipamentos e serviços necessários para construção de poços submarinos dever ser prioritário, de modo que flutuações de demandas no longo prazo possam ser replanejadas e mudanças no curto prazo possam ser identificadas e tratadas prontamente.;TEMAS TRANSVERSAIS;DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE;LOGÍSTICA;PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio;;;;;;;;;01/11/2017;36; R$ 6.519.083,94 
20205-1;Modelagem Numérica de Interação Duto-Escorregamentos Submarinos através do Método dos Pontos Materiais;PETROBRAS;0;PESQUISA BÁSICA;O objetivo geral deste projeto é a modelagem computacional de escorregamentos submarinos e a análise dos decorrentes impactos nas estruturas offshore adjacentes. Considerando que na exploração offshore são instalados diversos equipamentos no leito marinho e que este mesmo leito é constituído de relevo irregular, propícios a escorregamentos, a modelagem desses fenômenos e seus efeitos sobre as estruturas e equipamentos existentes irão permitir um conhecimento mais preciso dos riscos existentes.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;GEOMECÂNICA/ESTABILIZAÇÃO DE POÇOS;UFAL - Laboratório de Computação Científica e Visualização - LCCV/UFAL;;;;;;;;;16/11/2017;38; R$ 3.836.632,90 
20208-5;Sistema tomografia ondas guiadas dutos;PETROBRAS;0;PROTÓTIPO OU UNIDADE PILOTO;Desenvolver colares de transdutores, eletrônica de geração e aquisição de dados e algoritmos de processamento de sinal, que possibilitem a aplicação de técnicas de tomografia por ondas guiadas a dutos, com o objetivo de mapear zonas de corrosão com boa resolução.;TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;PETROBRAS;;;;;;;;;31/08/2017;57; R$ 370.855,79 
20209-3;Novas tecnologias para Interface, comunicação e integração de sistemas;PETROBRAS;0;PESQUISA APLICADA;Desenvolver novas metodologias em Identificação Multivariável (BR-VIP) e Sintonia de Controle Avançado (BR-LUMINA) para suportar as aplicações de Controle Avançado;ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PETROBRAS;;;;;;;;;04/09/2017;36; R$ 2.675.986,92 
20210-1;Diagnóstico de sistemas térmicos por técnicas de CFD;PETROBRAS;0;PESQUISA APLICADA;"1) Desenvolver metodologia de simulação numérica com validação de modelos, para elaboração de diagnóstico de anomalia operacional em caldeira recuperadora de calor e de proposta de alternativas para melhoria de seu desempenho.
2) Desenvolver metodologia de simulação numérica com validação de modelos, para análise de vibrações induzidas por escoamento, visando à busca de alternativas para minimizá-las.";ABASTECIMENTO;REFINO;OTIMIZAÇÃO E CONFIABILIDADE DE EQUIPAMENTOS, PROCESSOS E SISTEMAS;PETROBRAS;;;;;;;;;30/08/2017;30; R$ 737.100,00 
20211-9;Desenvolvimento de protótipos de equipamento para construção de poços: camisa deslizante com ferramenta de atuação permanente (conexões 7-5/8 e 9-7/8).;SHELL;0;PROTÓTIPO OU UNIDADE PILOTO;Este projeto tem por objetivo o desenvolvimento de protótipos de equipamento para construção de poços denominado camisa deslizante com ferramenta de atuação permanente. Os desenvolvimentos serão feitos em 02 tamanhos distintos para atender a demanda dos diferentes poços no pre-sal brasileiro: conexões 7-5/8 e  9-7/8.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;EQUIPAMENTOS DE POÇO E SUBMARINO;SHELL;WELLTEC DO BRASIL LTDA.;;;;;;;;21/08/2017;12; R$ 6.916.588,68 
20212-7;Desenvolvimento de método de caracterização de pastas de cimento G submetidas à atmosfera de CO2;PETROBRAS;0;DESENVOLVIMENTO EXPERIMENTAL;Desenvolvimento de um método que seja capaz de compreender os principais parâmetros microestruturais envolvidos na difusão do CO2 no interior da pasta de cimento, em ambiente de laboratório e validação deste método para aplicação em pastas comerciais, como uma das ferramentas de predição do comportamento da pasta de cimento no poço.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;IPT - Instituto de Pesquisas Tecnológicas do Estado de SP SA - IPT;;;;;;;;;04/12/2017;24; R$ 1.083.436,13 
20213-5;Sistemas de controle e otimização da produção;PETROBRAS;0;PESQUISA APLICADA;Desenvolver novos sistemas de controle avançado, automação e otimização da produção em tempo real para apoiar à operação das plataformas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO;PETROBRAS;;;;;;;;;06/09/2017;30; R$ 1.613.125,80 
20214-3;Desenvolvimento de protótipos de equipamento para construção de poços: Barreira mecânica anular com passagem de linhas hydráulicas e elétricas, diamêtros 8-1/2 e 12-1/4.;SHELL;0;PROTÓTIPO OU UNIDADE PILOTO;Este projeto tem por objetivo o desenvolvimento de protótipos de equipamento para construção de poços denominado barreira mecânica anular com passagem de linhas hydráulicas e elétricas. Os desenvolvimentos serão feitos em 02 tamanhos distintos para atender a demanda dos diferentes poços no pré-sal brasileiro: diamêtros 8-1/2 e 12-1/4;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;ENGENHARIA DE POÇO;EQUIPAMENTOS DE POÇO E SUBMARINO;SHELL;WELLTEC DO BRASIL LTDA.;;;;;;;;21/08/2017;12; R$ 5.860.801,77 
20215-0;Monitoração de corrosão com sensores MMM;PETROBRAS;0;DESENVOLVIMENTO EXPERIMENTAL;Utilizar um arranjo de sensores de MMM para monitorar uma perda de massa devido à corrosão em uma area específica. Este sensor seria instalado sobre a pintura e sem necessidade de uma preparação superficial específica.;TEMAS TRANSVERSAIS;MATERIAIS;INTEGRIDADE ESTRUTURAL, SOLDAGEM E CARACTERIZAÇÃO DE MATERIAIS;PETROBRAS;;;;;;;;;06/09/2017;33; R$ 174.137,10 
20217-6;Investigação da Dinâmica de Migração e Exsudação de Óleo das Bacias de Sergipe-Alagoas e Pernambuco-Paraíba Offshore e Integração com os Sistemas Petrolíferos;PETROGAL;0;PESQUISA BÁSICA;Aprofundar o conhecimento da dinâmica dos processos de geração, migração e acumulação do óleo por meio de um fluxo de trabalho inovador que combinará: identificação de ocorrências e exsudações de óleo, análise geológica/estrutural regional, modelagem estratigráfica/estrutural de detalhe, e modelagem de sistemas petrolíferos. Aprimorar o processo de avaliação do risco de carga e preservação de hidrocarbonetos e o procedimento de análise da prospectividade de regiões de fronteira exploratória.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;TÉCNICAS DE AQUISIÇÃO, PROCESSAMENTO E INTERPRETAÇÃO DE DADOS GEOFÍSICOS;UFRJ - Laboratório de Métodos Computacionais em Engenharia;;;;;;;;;02/10/2017;24; R$ 3.637.308,00 
20218-4;Projeto Bioestratigrafia Integrada do Cretáceo marinho de Sergipe-Alagoas;PETROBRAS;0;PESQUISA APLICADA;Elaborar um arcabouço bioestratigráfico e modelo da evolução paleoambiental para o Cretáceo na Bacia de Sergipe/Alagoas, integrando os resultados obtidos pelos métodos de foraminíferos, nanofósseis calcários, palinologia, ostracodes e radiolários, dando continuidade aos estudos integrados em micropaleontologia das amostras provenientes de quatro furos de sondagem executados pela equipe do itt Fossil/UNISINOS na Bacia de Sergipe em 2014/2015.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;UNISINOS - ITT FOSSIL;;;;;;;;;06/12/2017;48; R$ 7.102.574,85 
20220-0;Sistemas cognitivos para diagnóstico de processos e equipamentos;PETROBRAS;0;PESQUISA BÁSICA;Desenvolver e implementar sistemas inteligentes para a monitoração de processos baseados nas tecnologias cognitivas para antecipação de falhas e de condições anormais de operação antes delas evoluírem para incidentes mais graves, auxiliando os engenheiros e operadores nas decisões de mudanças nos pontos operacionais, e de outras formas de ações corretivas.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;AUTOMAÇÃO, CONTROLE E INSTRUMENTAÇÃO;PETROBRAS;;;;;;;;;12/09/2017;30; R$ 291.415,50 
20221-8;Sistema submarino baseado em membranas para tratamento e injeção de água do mar ¿ Fase 1;EQUINOR;"REPSOL; PETROGAL; SHELL; PETROBRAS";PROTÓTIPO OU UNIDADE PILOTO;Construir piloto laboratorial para a verificação de desempenho de sistema inovador para tratamento primário e remoção de sulfato da água do mar através da tecnologia de membranas poliméricas. Os resultados obtidos formarão a base de conhecimento para a execução de um protótipo a ser instalado em solo marinho com o objetivo de qualificar a tecnologia para aplicação em campos de petróleo em substituição a sistemas convencionais instalados no Deck de plataformas de produção.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;DESENVOLVIMENTO DE EQUIPAMENTOS;REPSOL;PETROGAL;EQUINOR;SHELL;GE CENTRO BRASILEIRO DE PESQUISAS LTDA.;;;;;31/07/2017;12; R$ 9.432.323,47 
20224-2;Asset Integrity - Robotic:  Riser FlexJoint Integrity Tool;SHELL;0;PROTÓTIPO OU UNIDADE PILOTO;O objetivo do projeto é desenvolver o protótipo de uma ferramenta adaptada a um ROV para a limpeza e inspeção de juntas flexíveis em risers.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;SHELL;SENAI-BA - SENAI CIMATEC;;;;;;;;01/09/2017;28; R$ 14.979.719,34 
20225-9;Caracterização geológica de reservatórios carbonáticos do intervalo Pré-sal da bacia de Santos, correlatos (bacia de Sergipe-Alagoas) e análogos ¿ PRESAL;SHELL;0;PESQUISA APLICADA;Caracterizar, em termos geológicos de reservatórios, as sucessões de coquinas das bacias de Santos (Fm. Itapema) e Sergipe-Alagoas (Fm. Morro do Chaves), os 'microbialitos' da Bacia de Santos (Fm. Barra Velha), com base em dados públicos de poços de sondagem, incluindo o estudo de análogos em apoio à modelagem geológica do intervalo Pré-Sal.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RESERVAS;SHELL;UFRJ - Laboratório de Geologia Sedimentar - Lagesed;;;;;;;;01/09/2017;54; R$ 28.625.098,12 
20226-7;Automação de procedimentos operacionais para o Refino;PETROBRAS;0;DESENVOLVIMENTO EXPERIMENTAL;Desenvolver novas metodologias e algoritmos para a automação de procedimentos (partidas, paradas, supervisão, etc.) em unidades industriais, como destilações, coque, FCC, etc., implementá-los na ferramenta de automação de procedimentos da Petrobras (MPA-Módulo de Procedimentos Automatizados) e validá-los em uma UO.;ABASTECIMENTO;REFINO;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;PETROBRAS;;;;;;;;;14/09/2017;31; R$ 273.930,57 
20227-5;Estudos Tribológicos para Previsão de Desgaste do Revestimento na Perfuração;PETROBRAS;0;PESQUISA APLICADA;O presente projeto tem por objetivo avaliar o modelo de remoção de material da parede do tubo de revestimento através da análise do comportamento tribológico do sistema tool joint, revestimento e fluido, de forma a parametrizar o resultado pelo fator de desgaste, que será utilizado na previsão de desgaste para consideração no projeto estrutural da coluna de revestimento. Pretende-se também desenvolver ações mitigadoras do desgaste como, por exemplo, o desenvolvimento de novos hardbandings.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;RISERS, UMBILICAIS E DUTOS SUBMARINOS;UFU - Laboratório de Tecnologia em Atrito e Desgaste;;;;;;;;;11/12/2017;36; R$ 3.533.756,27 
20228-3;Robô para a inspeção em serviço dos tanques de carga de FPSOs;SHELL;0;PROTÓTIPO OU UNIDADE PILOTO;Desenvolver um protótipo de um sistema robótico para limpar e inspecionar o casco de um FPSO. O sistema robótico deve ser implantado e controlado a partir do FPSO, rastejando na superfície externa do casco dos FPSOs através de um posicionamento automático, limpeza do crescimento marinho e realização de inspeção subaquática para cumprir com os requisitos de Inspeção Subaquática em lugar de docagem seca (UWILD).;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;AUTOMAÇÃO, CONTROLE, INSTRUMENTAÇÃO E METROLOGIA;SENAI-BA - SENAI CIMATEC;SHELL;;;;;;;;09/10/2017;27; R$ 15.928.415,58 
20230-9;Ferramenta Numérica Customizada (IntegriSpan) para Análise e Validação Experimental de Fadiga em Dutos Rígidos com Vãos-Livres Submetidos a VIV;PETROBRAS;0;PESQUISA APLICADA;Este projeto tem como meta aumentar o conhecimento do complexo fenômeno de vibrações induzidas por vórtices em dutos rígidos submarinos com vãos-livres utilizando ferramenta numérica customizada com interface gráfica a ser desenvolvida (IntegriSpan) e sua validação através de retroanálise de resultados de monitoramento em escala real de vãos-livres.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;GEOMECÂNICA/ESTABILIZAÇÃO DE POÇOS;UFAL - Laboratório de Computação Científica e Visualização - LCCV/UFAL;;;;;;;;;11/12/2017;50; R$ 3.901.168,12 
20231-7;Nanofluidos híbridos de copolímeros de acrilamida e nanomateriais de carbono para a recuperação melhorada de petróleo;PETROBRAS;0;PESQUISA APLICADA;O objetivo deste projeto consiste na otimização e aumento na produção de nanomateriais de carbono funcionalizados, para utilização na produção de nanofluidos aquosos contendo poliacrilamida, visando ganho e estabilidade nas propriedades reológicas (principalmente viscosidade) para aplicação em recuperação avançada de petróleo.;TEMAS TRANSVERSAIS;MATERIAIS;NANOMATERIAIS;UFMG - Laboratório de Espectroscopia Raman;;;;;;;;;14/12/2017;24; R$ 1.205.109,84 
20234-1;Soluções Numéricas e Analíticas aplicadas à Geomecânica de Reservatórios (Projeto SONAR);PETROBRAS;0;PESQUISA APLICADA;O objetivo do presente projeto de pesquisa é investigar e desenvolver modelos analíticos e numéricos para problemas de geomecânica relacionados à exploração e produção de óleo e gás em campos convencionais e não convencionais.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;GEOMECÂNICA/ESTABILIZAÇÃO DE POÇOS;PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio;;;;;;;;;19/12/2017;36; R$ 5.238.844,12 
20235-8;Projeto Pesquisa de Desenvolvimentos para os Módulos  do Sistema Integrado do Abastecimento (SIA);PETROBRAS;0;PESQUISA APLICADA;Este projeto visa dar continuidade ao processo evolutivo dos módulos que compõem o Sistema Integrado do Abastecimento (SIA), através da pesquisa e prototipação de novas soluções e melhorias em soluções já implementadas.;TEMAS TRANSVERSAIS;DISTRIBUIÇÃO, LOGÍSTICA E TRANSPORTE;LOGÍSTICA;PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio;;;;;;;;;19/12/2017;24; R$ 6.335.856,12 
20239-0;Pesquisa teórica e experimental sobre a aplicação de métodos físicos para mitigação de incrustações;PETROBRAS;0;PESQUISA APLICADA;Na indústria do petróleo, o problema de incrustação inorgânica pode ocorrer em várias etapas da cadeia produtiva. Variáveis como pressão, temperatura, vazão e concentração exercem grande influência no fenômeno de deposição, cujo crescimento pode levar ao bloqueio total da tubulação e consequente parada de produção. Este projeto possui por objetivo geral avaliar, sob uma abordagem teórica e experimental, a ação de métodos físicos para mitigação de incrustações em tubulações.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;MÉTODOS E PROCESSOS DE ESCOAMENTO;UFRJ - LTEP - Laboratório de Tecnologia de Engenharia de Poços;;;;;;;;;15/12/2017;36; R$ 5.815.456,43 
20240-8;Pesquisa e Desenvolvimento em técnicas e algoritmos para processos de requisição, análise e avaliação da cimentação.;PETROBRAS;0;PESQUISA APLICADA;O processo de cimentação de poços marítimos envolve diversos processos complexos, desde a criação do projeto de cimentação, planejamento da execução de cada fase, previsão de abandonos temporários, avaliação da cimentação e do tamponamento dos poços e todo o controle de qualidade envolvida em cada etapa do processo. A automação e a estruturação dos dados relacionados em cada etapa facilitam o gerenciamento da operação, dando maior transparência ao processo permitindo um aumento na produtividade.;TEMAS TRANSVERSAIS;AVALIAÇÃO DA CONFORMIDADE, MONITORAMENTO E CONTROLE;METODOLOGIAS E SISTEMAS DE CONTROLE DA QUALIDADE;PUC-Rio - Instituto TECGRAF de Desenvolvimento de Software Técnico-Cientifíco da PUC-Rio;;;;;;;;;15/12/2017;36; R$ 7.103.869,92 
20241-6;Análise e avaliação da citotoxicidade, toxicidade e genotoxicidade de nanopartículas de interesse da indústria petrolífera em modelos in vitro, in vivo e ex vivo;PETROBRAS;0;PESQUISA BÁSICA;O uso de nanopartículas e sua exposição a trabalhadores durante atividades petrolíferas pode ser um fator determinante para que esses trabalhadores desenvolvam alguma doença relacionada à exposição aos materiais. Assim, temos como objetivos neste projeto avaliar os efeitos das nanopartículas de carbono, óxido de ferro, óxido de titânio e outros nanomateriais por determinação de citotoxicidade, genotoxicidade e uma avaliação mais ampla e completa dos efeitos adversos e nocivos em um organismo.;TEMAS TRANSVERSAIS;MATERIAIS;NANOMATERIAIS;UFSCar - Laboratório de Inflamação e Doenças Infecciosas;;;;;;;;;19/12/2017;48; R$ 2.674.922,82 
20242-4;Captura e Transformação Química de CO2 em Combustíveis e Produtos Químicos;SHELL;0;PESQUISA APLICADA;Estudar materiais para captura de CO2, baseados em adsorventes básicos, e desenvolver catalisadores para transformação química do CO2 em combustíveis e produtos químicos, especialmente metanol, éter dimetílico (DME) e carbonatos orgânicos.;GÁS NATURAL;PRODUÇÃO E PROCESSAMENTO;TRANSFORMAÇÃO QUÍMICA DE GÁS NATURAL;UFRJ - LABORATÓRIO DE REATIVIDADE DE HIDROCARBONETOS, BIOMASSA E CATÁLISE (LARHCO);;;;;;;;;29/09/2017;60; R$ 4.139.516,78 
20243-2;Processos inovadores para a conversão de CO2 em produtos químicos de alto valor agregado e combustíveis baseado em catalisadores híbridos;SHELL;0;PESQUISA BÁSICA;O objetivo principal deste projeto é o desenvolvimento de processos catalíticos para a conversão de CO2 em produtos químicos e combustíveis. Esse objetivo será alcançado por meio de inovação no design de catalisadores empregando conceitos de nanotecnologia e química biomimética.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;PRODUÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, CAMPOS MADUROS E NOVAS FRONTEIRAS EXPLORATÓRIAS;CAPTURA E ESTOCAGEM DE CO2;SHELL;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;04/09/2017;48; R$ 3.644.296,01 
20244-0;Produção de Moléculas Orgânicas a partir de CO2 e H2O por Fotocatálise em Nano-óxidos;SHELL;0;PESQUISA APLICADA;Produção e teste de nanopartículas de óxidos para promover as condições ideais para produção de moléculas organicas a partir de CO2 e H2O por reações fotocatalíticas.;TEMAS TRANSVERSAIS;MATERIAIS;NANOMATERIAIS;SHELL;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;04/09/2017;48; R$ 2.621.070,77 
20245-7;Perspectivas para armazenamento de carbono em Reservatórios de Petróleo Não Convencionais ¿onshore¿ e de Bacias Sedimentares ¿offshore¿ do Sudeste do Brasil;SHELL;0;PESQUISA APLICADA;O projeto  objetiva avaliar a viabilidade geologica de implementar tecnologia para armazenamento de carbono em reservatórios de petróleo não convencionais ¿onshore¿ (formações de folhelhos negros da Bacia do Paraná) e daqueles associados às bacias sedimentares offshore da região sudeste do Brasil,  ( rochas turbidíticas e carbonatadas da Bacia de Santos) com a finalidade de contribuir para a redução de CO2, em áreas com fortes emissões de carbono.;EXPLORAÇÃO E PRODUÇÃO DE PETRÓLEO E GÁS NATURAL - ONSHORE E OFFSHORE;EXPLORAÇÃO - HORIZONTE PRÉ-SAL, ÁGUAS PROFUNDAS, BACIAS MADURAS E NOVAS FRONTEIRAS EXPLORATÓRIAS;ESTUDOS GEOLÓGICOS DAS BACIAS SEDIMENTARES;SHELL;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;04/09/2017;36; R$ 4.137.832,65 
20246-5;Redução das emissões de gases do efeito estufa através da integração de centrais termoeléctricas com tecnologias de conversão de CO2;SHELL;0;PESQUISA APLICADA;"Propor um desenho conceitual integrando Centrais Termelétricas com tecnologias de conversão de CO2 para mitigar as emissões de gases de efeito estufa.
 Simular uma Central termoelétrica integrado com unidades de conversão de CO2. 
 Realizar integração de processos para redução de CO2.";GÁS NATURAL;UTILIZAÇÃO;OUTRAS APLICAÇÕES;SHELL;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;04/09/2017;48; R$ 4.327.742,81 
20247-3;Sistema de monitoramento acústico passivo para detecção de vazamento de CO2;SHELL;0;PESQUISA APLICADA;"Desenvolvimento de tecnologia acústica para detecção e quantificação de vazamento de CO2 em reservatórios, englobando: a) equipaemnto multi-sensor (acústico e físico químico) para monitoramento submarino de longo termo; b) algoritmos e software de análise de sinais de larga escala tempor; modelagem e simulação de vazamento; c) projeto e realização de testes experimentais em escala laboratorial e marinha";GÁS NATURAL;UTILIZAÇÃO;OUTRAS APLICAÇÕES;SHELL;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;04/09/2017;48; R$ 3.028.203,38 
20248-1;Detecção de vazamento dos gases CH4 e CO2 no fundo do mar utilizando imagens de ultrassom com múltiplos elementos.;SHELL;0;DESENVOLVIMENTO EXPERIMENTAL;O objetivo deste projeto é o processamento de sinais de imagens de ultrassom obtidas por um ultrassom multi-elemento para a detecção de vazamento de bolhas de gás no fundo do mar. O projeto será realizado em laboratório usando um equipamento de imagem phased array com um transdutor de banda larga de 500 kHz de 64 elementos. As imagens do ultrassom serão obtidas em um tanque de teste na USP, usando um dispositivo de varredura mecânica, e um modelo de navio com sistema de posicionamento dinâmico.;TEMAS TRANSVERSAIS;SEGURANÇA E MEIO AMBIENTE;MONITORAMENTO E CONTROLE DE INSTALAÇÕES ONSHORE E OFFSHORE;SHELL;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;04/09/2017;24; R$ 1.354.423,29 
20249-9;Estudo do comportamento de corrosão e/ou degradação em solução aquosa saturada com CO2 na ausência e presença de contaminantes (NOx, SOx e H2S) em materiais utilizados no transporte de CO2 Supercrítico (SCCO2);SHELL;0;PESQUISA APLICADA;Investigar o efeito da composição de fase aquosa ácida sobre o comportamento eletroquímico e de resistência à corrosão de aços de alta resistência e baixa liga (ARBL) e sobre a degradação de compósitos poliméricos utilizados em tubulações para o transporte de CO2 no estado supercrítico;GÁS NATURAL;UTILIZAÇÃO;OUTRAS APLICAÇÕES;SHELL;USP - CENTRO DE PESQUISA PARA INOVAÇÃO EM GÁS (RCGI);;;;;;;;04/09/2017;48; R$ 2.746.940,42 
